Model,Price,Rating,Inches,RAM_GB,SSD_GB,Storage_Detail,Screen_Width,Screen_Height,Screen_Resolution_Type,CPU_Detail,GPU_Detail,OS_Detail,Price_Category
HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36349.0,55.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,0
Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),27990.0,57.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 1155G7,Intel Integrated UHD,Windows 11 OS,0
Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),43990.0,66.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i7 1255U,Intel Integrated,Windows 11 OS,1
Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),44990.0,65.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7730U,AMD Radeon AMD,Windows 11 OS,1
Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),34990.0,54.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,‎Intel UHD Graphics,Windows 11 OS,0
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),79990.0,72.0,16.1,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),53990.0,66.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),69990.0,66.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i7 11800H,4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,1
Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),48990.0,62.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 11260H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
Lenovo LOQ 15APH8 82XT004HIN 2023 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),79990.0,70.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1
Asus Vivobook Go 15 E510MA-EJ001W Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),19990.0,61.5,15.6,4.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,intel Celeron  N4020,Integrated Intel UHD Graphics,Windows 11 OS,0
HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),89990.0,64.0,16.1,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
Infinix INBook Y1 Plus Neo 2023 XL30 Laptop (Intel Celeron N5100/ 4GB/ 128GB SSD/ Win 11 Home),18990.0,61.5,15.6,4.0,128.0,128 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Celeron N5100,Intel Integrated UHD,Windows 11 OS,0
Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),59990.0,63.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i7 12650H,Intel Iris Xe,Windows 11 OS,1
Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),53490.0,65.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
